UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl
37e69a7e-bdee-4918-9c95-f83554f9ce13,El Dorado Complex,2011-12-01T11:00:00Z,132,100,El Dorado,/incidents/2011/12/1/el-dorado-complex/
9b74ec54-0b7b-4c4b-86e5-a64d30aca165,MMU Lightning Complex,2011-07-31T12:40:00Z,129,100,Madera,/incidents/2011/7/31/mmu-lightning-complex/
9b74ec54-0b7b-4c4b-86e5-a64d30aca165,MMU Lightning Complex,2011-07-31T12:40:00Z,129,100,Mariposa,/incidents/2011/7/31/mmu-lightning-complex/
c3ccf1a9-082d-4c19-a441-c9838f83cdc5,Red Fire,2011-09-03T17:00:00Z,121,100,Tuolumne,/incidents/2011/9/3/red-fire/
a2063440-a9ff-4d5a-9cd3-9352a2c3b167,Hawkinsville Fire ,2011-09-01T16:05:00Z,120,100,Siskiyou,/incidents/2011/9/1/hawkinsville-fire/
352836ae-203e-466b-81e1-fcb646767e46,Deep Fire,2011-07-03T16:05:00Z,119,100,San Bernardino,/incidents/2011/7/3/deep-fire/
dec43813-3006-41d9-8e29-23e2f616afcb,Southridge Fire,2011-07-27T15:40:00Z,112,100,Sutter,/incidents/2011/7/27/southridge-fire/
8652e1c0-b8b0-43bd-b5bf-1fad4bbb4b40,Middle Fire,2011-07-22T16:48:00Z,100,100,Calaveras,/incidents/2011/7/22/middle-fire/
52192cc2-74db-4c1f-8ded-d8254b8548a7,Hughes Fire,2011-06-23T11:00:00Z,100,100,Los Angeles,/incidents/2011/6/23/hughes-fire/
e999374c-81e3-4b35-852f-031376b48367,Bee Fire,2011-06-05T15:42:00Z,100,100,San Diego,/incidents/2011/6/5/bee-fire/
56eac02f-91f6-4e66-b83b-5b5bb3a0a5a6,Barrett Fire,2011-08-27T13:04:00Z,95,100,San Diego,/incidents/2011/8/27/barrett-fire/
b67d8e96-86df-4adf-933e-9bf5cf1b3bf9,Ardo Fire,2011-08-12T15:54:00Z,94,100,Monterey,/incidents/2011/8/12/ardo-fire/
a5351497-e999-484b-a8bb-6512fac8e3bc,Loma Fire,2011-11-01T21:05:00Z,90,100,Napa,/incidents/2011/11/1/loma-fire/
ad3ffb6a-4043-4fc7-b8c6-89a1a3d91c05,Yosemite Fire,2011-08-28T16:27:00Z,85,100,San Luis Obispo,/incidents/2011/8/28/yosemite-fire/
fa6e4bb4-6110-48b2-ab76-ce6b6a8f769b,Murray Fire,2011-07-25T13:44:00Z,83,100,Calaveras,/incidents/2011/7/25/murray-fire/
31db8d05-7aed-4030-991a-882d6a628c1a,San Tim Fire,2011-07-20T13:58:00Z,80,100,Riverside,/incidents/2011/7/20/san-tim-fire/
