UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl,ExternalIncidentLink
00e6d6d5-f168-45fa-817a-f7758a5170b7,Easy Fire,2019-10-30T07:45:14Z,1806,100,Ventura,/incidents/2019/10/30/easy-fire/,NA
547b7d19-9b75-4c11-8b88-56adb6460a3c,Gaines Fire,2019-08-16T14:11:02Z,1300,100,Mariposa,/incidents/2019/8/16/gaines-fire/,NA
7ff84b11-c3fb-4f5c-8a00-07243d4a4e33,Sandalwood Fire,2019-10-10T15:38:44Z,1011,100,Riverside,/incidents/2019/10/10/sandalwood-fire/,NA
828b2492-fc44-4fc0-97fa-f0b439e6fa0d,Rawson Fire,2019-10-27T02:47:20Z,605,100,Tehama,/incidents/2019/10/27/rawson-fire/,NA
8f23653c-1a4c-4609-bfb3-72b1665eab69,Hill Fire ,2019-10-30T11:19:00Z,494,100,Riverside,/incidents/2019/10/30/hill-fire/,NA
77d64e4c-a50f-4f4d-a750-e6a6f0ddadc9,Foothills Fire,2019-11-25T12:39:44Z,355,100,Placer,/incidents/2019/11/25/foothills-fire/,NA
207f72f7-1453-40dc-919e-3551f7041b22,Cross Fire,2019-10-09T06:52:14Z,289,100,Monterey,/incidents/2019/10/9/cross-fire/,NA
207f72f7-1453-40dc-919e-3551f7041b22,Cross Fire,2019-10-09T06:52:14Z,289,100,San Luis Obispo,/incidents/2019/10/9/cross-fire/,NA
f8a2fd4a-286e-4688-8a5c-fa2ad98751ab,Valley Fire,2019-07-21T12:01:40Z,149,100,Mariposa,/incidents/2019/7/21/valley-fire/,NA
ff8701f0-a12a-4b40-baa9-b58c4e2e31f3,Mud Fire ,2019-10-18T12:17:32Z,137,100,Fresno,/incidents/2019/10/18/mud-fire/,NA
9a9bc21f-36f5-4092-b98e-c0d584d198db,3-2 Willow (Previously H-1 Fire),2019-08-07T18:48:57Z,107,100,Lassen,/incidents/2019/8/7/3-2-willow-previously-h-1-fire/,NA
d37acb3f-94c8-47ef-b3da-6eb0d7353aa7,Wolf Fire,2019-10-10T18:36:46Z,75,100,Riverside,/incidents/2019/10/10/wolf-fire/,NA
