UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl,ExternalIncidentLink
e86265b9-2ac9-471e-bff4-deb2f46b7b7d,Dairy Fire,2021-06-15T18:59:10.6Z,165,100,Tehama,/incidents/2021/6/15/dairy-fire/,NA
4567cb5b-ef86-4630-81ef-f442fc07dc3e,Campo Fire,2021-04-29T23:18:41.59Z,160,100,Calaveras,/incidents/2021/4/29/campo-fire/,NA
47070a62-2ef3-44a9-8b98-a20e0e574f97,Robie Fire,2021-07-30T00:00:00Z,153,100,Calaveras,/incidents/2021/7/30/robie-fire/,NA
8e7dcc1b-718b-4388-9e20-bef4b9b94385,Hollow Fire,2021-10-24T13:40:00Z,150,100,San Joaquin,/incidents/2021/10/24/hollow-fire/,NA
92fd111b-2d3a-48c8-bc43-d505eaceb423,Beale Fire,2021-06-13T19:39:00Z,150,100,Yuba,/incidents/2021/6/13/beale-fire/,NA
5f34e7bc-b627-4baf-9e6e-ded2eec3c77a,Estrada Fire,2021-10-15T14:40:39Z,148,100,Santa Cruz,/incidents/2021/10/15/estrada-fire/,NA
348304a5-5d65-46bb-a9f6-4e8ce6ca985b,Panoche Fire,2021-06-23T13:38:00Z,145,100,San Benito,/incidents/2021/6/23/panoche-fire/,NA
4376d68e-4093-4d4c-aa6f-e0df6d50e9fb,Vulcan Fire,2021-06-27T17:05:33Z,140,100,Fresno,/incidents/2021/6/27/vulcan-fire/,NA
e9761340-1808-42f6-b773-fb7047a2a638,4-3 Fire,2021-06-24T18:38:46.593Z,134,100,Modoc,/incidents/2021/6/24/4-3-fire/,NA
e8842a17-4f53-4803-9350-838ec34e66e9,Coyote Fire,2021-08-13T00:00:00Z,127,100,Lake,/incidents/2021/8/13/coyote-fire/,NA
2aaf4aba-1155-4f25-a5a6-fd6ee8d66f8c,Stowe Fire,2021-06-28T16:48:08.963Z,122,100,Riverside,/incidents/2021/6/28/stowe-fire/,NA
baef627e-c3ba-4c3c-8a55-a168839aa2c8,Granite Fire,2021-05-08T15:02:45Z,118,100,Calaveras,/incidents/2021/5/8/granite-fire/,NA
460ab87e-07e7-4931-8390-bd3fe60677b2,Fremont Fire,2021-09-22T14:25:00Z,116,100,Napa,/incidents/2021/9/22/fremont-fire/,NA
460ab87e-07e7-4931-8390-bd3fe60677b2,Fremont Fire,2021-09-22T14:25:00Z,116,100,Sonoma,/incidents/2021/9/22/fremont-fire/,NA
9116b7e9-66c8-417b-a1f6-b9b078e240d6,Lake Fire,2021-05-24T13:30:26.997Z,115,100,Riverside,/incidents/2021/5/24/lake-fire/,NA
3a4d4c77-ff87-458d-b906-e203fc098aa5,Coyote Fire,2021-07-09T16:41:27Z,110,100,Modoc,/incidents/2021/7/9/coyote-fire/,NA
