UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl,ExternalIncidentLink
3df6ecf7-f095-483d-b1c4-2dc969d61261,King Fire,2014-09-13T16:32:00Z,97717,100,El Dorado,/incidents/2014/9/13/king-fire/,NA
550c60e9-6b15-4e64-bf4b-9bd5d1cb359d,July Complex,2014-08-02T09:00:00Z,50042,100,Siskiyou,/incidents/2014/8/2/july-complex/,NA
045a1a18-72e4-4579-b64c-f34b33a1031b,Bald Fire,2014-07-30T20:15:00Z,39736,100,Shasta,/incidents/2014/7/30/bald-fire/,NA
3b2609f0-b3a2-493c-bf66-c5b5f64409f8,Oregon Gulch Fire (part of the Beaver Complex),2014-07-30T23:00:00Z,35302,100,Siskiyou,/incidents/2014/7/30/oregon-gulch-fire-part-of-the-beaver-complex/,NA
30702a48-f9b0-44c3-8ddb-acc837bc6a34,Beaver Fire,2014-07-30T00:00:00Z,32496,100,Siskiyou,/incidents/2014/7/30/beaver-fire/,NA
60ea04ec-5f5e-4a49-8fbc-fa50c17a1199,Eiler Fire,2014-07-31T18:04:00Z,32416,100,Shasta,/incidents/2014/7/31/eiler-fire/,NA
2a3d56c7-2ba7-4f83-8e69-7ae9bab18b71,Pulgas Fire,2014-05-15T14:45:00Z,14416,100,San Diego,/incidents/2014/5/15/pulgas-fire/,NA
61c14593-8614-4365-afa7-264fcaa6ea2a,French Fire,2014-07-28T05:45:00Z,13838,100,Madera,/incidents/2014/7/28/french-fire/,NA
e3b7143d-6faa-4962-9fe5-c2d1559c5d20,Day Fire,2014-07-30T19:01:00Z,13153,100,Modoc,/incidents/2014/7/30/day-fire/,NA
3a1fab73-882a-478c-b289-504497db4d64,Bully Fire,2014-07-11T15:37:00Z,12661,100,Shasta,/incidents/2014/7/11/bully-fire/,NA
7c6a9617-1c79-4b4d-9833-e76532f59103,Lodge Lightning Complex,2014-07-30T06:27:00Z,12536,100,Mendocino,/incidents/2014/7/30/lodge-lightning-complex/,NA
756d8f5b-bc05-4741-a5a3-3b20ca21906d,Monticello Fire,2014-07-04T21:32:00Z,6488,100,Yolo,/incidents/2014/7/4/monticello-fire/,NA
9d3fb01e-c29e-436a-82f8-c110a0b35179,Coffee Fire,2014-07-30T20:30:00Z,6258,100,Shasta,/incidents/2014/7/30/coffee-fire/,NA
59a31adf-4f31-4bf6-a6c6-fe62d2d2587f,Little Deer Fire,2014-07-31T17:45:00Z,5503,100,Siskiyou,/incidents/2014/7/31/little-deer-fire/,NA
2b35bd0d-169f-4a81-835b-13bf527031a6,Tomahawk Fire,2014-05-14T09:45:00Z,5367,100,San Diego,/incidents/2014/5/14/tomahawk-fire/,NA
e54fa953-24b9-4581-86f3-9931fdf3ca5e,Stoney Fire,2014-06-19T15:14:00Z,4840,100,Monterey,/incidents/2014/6/19/stoney-fire/,NA
8bc9d00d-5f81-4a73-b14f-8145890c8d50,Meadow Fire,2014-08-16T00:00:00Z,4772,100,Mariposa,/incidents/2014/8/16/meadow-fire/,NA
3383fa93-aaf8-4f81-a980-5ba86b893039,El Portal Fire,2014-07-26T17:00:00Z,4689,100,Mariposa,/incidents/2014/7/26/el-portal-fire/,NA
2437bb57-1d09-4892-8c26-a60661dae1d9,Butts Fire,2014-07-01T12:08:00Z,4300,100,Napa,/incidents/2014/7/1/butts-fire/,NA
2437bb57-1d09-4892-8c26-a60661dae1d9,Butts Fire,2014-07-01T12:08:00Z,4300,100,Lake,/incidents/2014/7/1/butts-fire/,NA
4d07ccc3-32be-4a1d-acac-18333884c97d,Sand Fire,2014-07-25T16:34:00Z,4240,100,Amador,/incidents/2014/7/25/sand-fire/,NA
4d07ccc3-32be-4a1d-acac-18333884c97d,Sand Fire,2014-07-25T16:34:00Z,4240,100,El Dorado,/incidents/2014/7/25/sand-fire/,NA
4b281a55-65b6-43e8-bab2-3689356d82e5,Way Fire,2014-08-18T14:30:00Z,4045,100,Kern,/incidents/2014/8/18/way-fire/,NA
