UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl
25caa778-e38d-4fe6-a7a6-c1420667a4a3,Crown Fire,2010-07-29T14:22:00Z,13918,100,Los Angeles,/incidents/2010/7/29/crown-fire/
38922559-80db-4066-88c9-25646c976af1,Canyon Fire,2010-09-12T13:54:00Z,9820,100,Kern,/incidents/2010/9/12/canyon-fire/
5cc07962-5ffd-4a3e-8e4a-578fac2efa68,Cotton Fire,2010-05-15T09:19:00Z,2044,100,San Luis Obispo,/incidents/2010/5/15/cotton-fire/
039e29c0-b365-4121-80bb-bb57c6d8a9a2,Robinson Fire,2010-06-11T21:15:00Z,2000,100,Merced,/incidents/2010/6/11/robinson-fire/
5b9627ed-f7e0-41c9-9476-c82d3fae26ea,West Fire,2010-07-27T15:48:00Z,1658,100,Kern,/incidents/2010/7/27/west-fire/
6153d30b-fea5-42b4-a10e-45d12969259f,Post Fire,2010-08-24T12:15:00Z,1312,100,Kern,/incidents/2010/8/24/post-fire/
22de7782-12ef-4517-9217-9a1e4eb250b2,Bullard Fire,2010-08-27T16:05:00Z,1307,100,Yuba,/incidents/2010/8/27/bullard-fire/
5d4954a7-d392-4e28-9da9-4bd2b847748f,Pozo Fire,2010-08-21T12:31:00Z,1263,100,San Luis Obispo,/incidents/2010/8/21/pozo-fire/
d853e3a4-076b-4e1e-91fd-2480d30f57f5,Monte Fire,2010-08-21T13:02:00Z,1047,100,San Diego,/incidents/2010/8/21/monte-fire/
096ccaa6-e030-489c-ae66-046f9f7bf937,McKinley Fire,2010-05-20T12:48:00Z,1028,100,Riverside,/incidents/2010/5/20/mckinley-fire/
e75d8b41-d681-4504-b74b-612eb9595a3c,Monte Fire,2010-08-21T01:02:00Z,929,100,San Diego,/incidents/2010/8/21/monte-fire/
744150ea-35e9-4de1-b3ae-69d228c719f7,Stokes Fire,2010-08-17T20:05:00Z,879,100,Tulare,/incidents/2010/8/17/stokes-fire/
783535e5-4f8d-4a4b-9fe6-34dc4b4b3e81,Pedley Fire,2010-05-12T13:31:00Z,856,100,Riverside,/incidents/2010/5/12/pedley-fire/
2d8892b3-0974-46a5-a892-042d74ca6ebd,Cowboy Fire,2010-09-02T13:11:00Z,827,100,San Diego,/incidents/2010/9/2/cowboy-fire/
49b3f03d-3fef-4353-8542-c216691e7171,Cactus Fire,2010-07-15T14:59:00Z,706,100,Riverside,/incidents/2010/7/15/cactus-fire/
485e2029-3c92-4021-bfe9-aa6ee0bfe5cc,Bodfish Fire,2010-07-15T20:30:00Z,552,100,Kern,/incidents/2010/7/15/bodfish-fire/
694d86f7-f9b5-4a01-9c98-0e5bc05e2c60,Skinner Fire,2010-07-15T15:42:00Z,503,100,Riverside,/incidents/2010/7/15/skinner-fire/
1ed7d65a-878f-46c4-baea-fd802817c0be,Diablo Fire,2010-06-18T16:35:00Z,475,100,Alameda,/incidents/2010/6/18/diablo-fire/
09092c25-0d6d-4f39-aef5-6882f376b825,Baseline Fire,2010-08-20T15:45:00Z,434,100,Placer,/incidents/2010/8/20/baseline-fire/
fa55cc8c-b332-466f-8e5d-f4ea2a86cc13,Curry Fire,2010-08-24T16:00:00Z,375,100,Contra Costa,/incidents/2010/8/24/curry-fire/
