UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl
8f374d0d-87fb-4e93-97fe-bb6f4b9c51b0,Rush Fire,2012-08-12T18:42:00Z,315577,100,Lassen,/incidents/2012/8/12/rush-fire/
be5b8944-1154-42b4-aca3-22a042051568,Barry Point Fire,2012-08-06T16:17:00Z,93071,100,Modoc,/incidents/2012/8/6/barry-point-fire/
b3f60e64-8943-43cc-a174-aca9990debf2,Chips Fire,2012-07-29T01:57:00Z,75431,100,Plumas,/incidents/2012/7/29/chips-fire/
03c6abae-f269-4974-8646-a174d9b4f13a,Bagley Fire,2012-09-05T14:40:00Z,46011,100,Shasta,/incidents/2012/9/5/bagley-fire/
798c60e5-211e-4474-ba33-15c3bef7aa24,North Pass Fire,2012-08-18T02:47:00Z,41983,100,Mendocino,/incidents/2012/8/18/north-pass-fire/
ded67d59-bec1-4771-ac1c-fd079cc928d2,Mill Fire,2012-07-07T15:00:00Z,29502,100,Colusa,/incidents/2012/7/7/mill-fire/
9d653b58-b2e7-44b1-856f-5575324c3c5d,Reading Fire,2012-07-23T17:09:00Z,28079,100,Shasta,/incidents/2012/7/23/reading-fire/
3b9bc367-77f5-4081-a430-71c3e7e5db3e,Ponderosa Fire,2012-08-18T11:37:00Z,27676,100,Tehama,/incidents/2012/8/18/ponderosa-fire/
3b9bc367-77f5-4081-a430-71c3e7e5db3e,Ponderosa Fire,2012-08-18T11:37:00Z,27676,100,Shasta,/incidents/2012/8/18/ponderosa-fire/
c5a4a634-2e2a-4992-a09b-fb7983e6db5b,Fort Complex,2012-08-05T19:00:00Z,23653,100,Siskiyou,/incidents/2012/8/5/fort-complex/
be18561f-7353-49d0-bb39-009f7072c191,Vallecito Lightning Complex,2012-08-12T20:00:00Z,22828,100,San Diego,/incidents/2012/8/12/vallecito-lightning-complex/
0f7a06b8-0a65-4de9-90d9-d6291af6f137,16 Complex,2012-09-04T15:45:00Z,17944,100,Colusa,/incidents/2012/9/4/16-complex/
7a4583d7-75dc-4765-9a6e-75214aaa1276,Indian Fire,2012-08-08T14:06:00Z,12576,100,Mono,/incidents/2012/8/8/indian-fire/
9d2fe05a-20b8-44f7-9e3c-a8c85eba9e7b,Jawbone Complex,2012-08-10T13:01:00Z,12018,100,Kern,/incidents/2012/8/10/jawbone-complex/
